type,category,core,content,translation,remark,count
词伙,音乐话题,capacity,primal capacity,原始能力,,0
词伙,音乐话题,contemporary,contemporary pop,当代流行乐,,0
词伙,音乐话题,transcend,transcend culture,超越文化,,0
词伙,音乐话题,evoke,evoke (innate` biological) emotional responses,唤起（天生的、生理的）情感反应,,0
词伙,音乐话题,response,response universal,普遍的反应,,0
词伙,音乐话题,translation,requiring no translation,无需翻译,,1
词伙,音乐话题,signal,physical signals,物理信号,,0
词伙,音乐话题,ambiguity,avoids the ambiguity inherent in,避免了...固有的模糊性,,0
词伙,音乐话题,language,verbal language,口头语言,,0
词伙,音乐话题,connection,allows for a (direct` heart-to-heart) connection,允许（直接的、心对心的）连接,,0
词伙,音乐话题,score,film scores,电影配乐,,0
词伙,音乐话题,elicit,elicit similar emotional reactions from,从...引出相似的情感反应,,0
词伙,音乐话题,worldwide,audiences worldwide` regardless of nationality or culture,全球观众，无论国籍或文化,,0
词伙,音乐话题,expression,emotional expression and reception,情感表达与接收,,0
词伙,音乐话题,underpin,... underpins ...'s claim to being a …,支撑了...作为...的主张,,0
词伙,音乐话题,convey,convey specific requests,传达具体的请求,,0
词伙,音乐话题,articulate,articulating precise concepts,阐述精确的概念,,0
词伙,音乐话题,interpretation,subjective interpretation by individual listeners,听众个体的主观诠释,,0
词伙,音乐话题,music,create music;produce music,创作音乐；制作音乐,,0
词伙,音乐话题,genre,blues;folk music,蓝调；民谣,,0
词伙,音乐话题,narrative,its deeper narrative,其更深层的叙事,,0
词伙,音乐话题,glimpse,a glimpse into a culture's aesthetic,对一种文化美学的窥见,,0
词伙,音乐话题,dimension,a complementary dimension,一个补充的维度,,0
词伙,音乐话题,spectrum,within the broader spectrum of …,在...更广阔的谱系内,,0
词伙,音乐话题,lyric,the emotions conveyed by the lyrics,歌词所传达的情感,,0
词伙,音乐话题,barrier,lower the barriers to entry,降低入门门槛,,0
词伙,音乐话题,foster,... fosters greater cross-cultural exchange and fusion of ...,...促进了更大的跨文化交流与融合,,0
词伙,音乐话题,collaborate,young people worldwide are collaboratively forging a,全球年轻人正在协作打造一个...,,0
词伙,音乐话题,piece,a moving piece of music,一首动人的乐曲,,0
词伙,音乐话题,pique,pique one's interest,激起某人的兴趣,,0
词伙,音乐话题,transcend,... transcends its role as a mere ... and becomes a catalyst for deeper cultural dialogue.,...超越了其作为单纯...的角色，并成为更深层文化对话的催化剂。,,0
词伙,音乐话题,dialogue,(deep) cultural dialogue,（深层的）文化对话,,0
词伙,音乐话题,catalyst,a catalyst for,...的催化剂,,0
词伙,音乐话题,usher,technological development has ushered in a more accessible era,科技发展开启了一个更易接触的时代,,0
词伙,音乐话题,value,the supreme value of … lies not in …` but in …, ...的最高价值不在于...，而在于...,,0
词伙,音乐话题,express,expressing the inexpressible,表达不可言说之物,,0
词伙,音乐话题,window,opening the window for …,为...打开窗口,,1
词伙,音乐话题,dialogue,genuine dialogue,真正的对话,,1
词伙,体育/媒体话题,broadcast,broadcast more sports programs,播出更多体育节目,,0
词伙,体育/媒体话题,program,programs featuring men;men's sports competition;men's tournament;events,以男性为主的节目；男子体育竞赛；男子锦标赛；赛事,,0
词伙,体育/媒体话题,factor,historical factors,历史因素,,0
词伙,体育/媒体话题,base,established viewer bases,稳固的观众基础,,0
词伙,体育/媒体话题,investment,(greater) economic investment,（更大的）经济投资,,0
词伙,体育/媒体话题,mandate,mandating equal (broadcast) time;simple equal-time strategy;equal airtime,强制规定（播出）时间均等；简单的等时策略；相等的播出时间,,0
词伙,体育/媒体话题,approach,effective approach,有效的方法,,0
词伙,体育/媒体话题,platform,create a fair competitive platform,创造一个公平的竞争平台,,0
词伙,体育/媒体话题,opposition,my opposition to,我对...的反对,,1
词伙,体育/媒体话题,due,... is not primarily due to ... but rather than ...,...主要不是由于...，而是由于...,,1
词伙,体育/媒体话题,bias,gender bias,性别偏见,,0
词伙,体育/媒体话题,cycle,a self-reinforcing cycle driven by ...,一个由...驱动的自我强化循环,,0
词伙,体育/媒体话题,interest,economic interests,经济利益,,1
词伙,体育/媒体话题,quality,achieve higher production quality,达到更高的制作质量,,0
词伙,体育/媒体话题,cultivate,cultivate star athletes,培养明星运动员,,0
词伙,体育/媒体话题,appeal,brand appeal,品牌吸引力,,0
词伙,体育/媒体话题,right,broadcasting right;broadcasting deal,转播权；转播协议,,1
词伙,体育/媒体话题,prefer,naturally prefer ...,自然更喜欢...,,0
词伙,体育/媒体话题,content,content that yield higher profits,能产生更高利润的内容,,0
词伙,体育/媒体话题,attract,attract larger audiences;(consistently) attract vastly larger viewership;engage viewers,吸引更多观众；（持续地）吸引庞大得多的观众群；吸引观众,,1
词伙,体育/媒体话题,preference,the market's objective preference,市场的客观偏好,,1
词伙,体育/媒体话题,impose,imposing equal airtime,强加相等的播出时间,,0
词伙,体育/媒体话题,remedy,an inefficient remedy,一个低效的补救措施,,0
词伙,体育/媒体话题,principle,market principles,市场原则,,0
词伙,体育/媒体话题,disregard,disregarding viewer preferences,忽视观众偏好,,0
词伙,体育/媒体话题,rating,lead to declining ratings,导致收视率下降,,1
词伙,体育/媒体话题,revenue,reduced revenue for,给...带来的收入减少,,0
词伙,体育/媒体话题,contraction,(ultimately) a contraction in the overall scale of ...,（最终）导致...总体规模的收缩,,0
词伙,体育/媒体话题,coverage,sports coverage,体育报道,,1
词伙,体育/媒体话题,detrimental,be detrimental to (both ... and ...),对（...和...）有害,,0
词伙,体育/媒体话题,channel,television channels,电视频道,,0
词伙,体育/媒体话题,mandate,such a mandate,这样的强制规定,指代前文的强制策略,0
词伙,体育/媒体话题,address,addresses the symptom superficially,表面地处理症状,,0
词伙,体育/媒体话题,underinvestment,chronic underinvestment,长期投资不足,,0
词伙,体育/媒体话题,building,brand building,品牌建设,,1
词伙,体育/媒体话题,improve,... do nothing to improve ...,...对改善...毫无帮助,,0
词伙,体育/媒体话题,appeal,narrative appeal of the events themselves,赛事本身的叙事吸引力,,0
词伙,体育/媒体话题,change,driving real change,推动真正的改变,,0
词伙,体育/媒体话题,achieve,achieving equity,实现公平,,0
