type,category,core,content,translation,remark,count
错词,拼写,reckon,reckon,认为,,0
错词,拼写,appreciate,appreciate,欣赏,,0
错词,拼写,masterpiece,masterpiece,杰作,,0
错词,拼写,definition,definition,定义,,1
错词,拼写,bottle,bottle,瓶子,混淆了“battle”（战斗）和“bottle”（瓶子）,0
错词,拼写,respond,respond,反应,,1
错词,拼写,rhythm,rhythm,节奏,,1
错词,拼写,specific,specific,特定的,,0
错词,拼写,aesthetic,aesthetic,美学的,注意拼写,0
错词,拼写,dimension,dimension,维度,,1
错词,拼写,melody,melody,旋律,,0
错词,拼写,scenario,scenario,场景,,0
错词,拼写,Opera,Opera,歌剧,,1
错词,拼写,stimulate,stimulate,刺激,,0
错词,拼写,compulsory,compulsory,强制的,,0
错词,拼写,definitely,definitely,肯定地,,0
错词,拼写,imbalance,imbalance,不平衡,,0
错词,拼写,long-term,long-term,长期的,,0
错词,拼写,Therefore,Therefore,因此,,0
错词,拼写,specifically,specifically,具体地,,0
错词,拼写,approach,approach,方法,,0
错词,拼写,equity,equity,公平,,0
错词,拼写,shoulder,shoulder,承担,,1
错词,拼写,responsibility,responsibility,责任,,0
错词,拼写,economical,economical,经济的,,0
错词,拼写,allocation,allocation,分配,,0
错词,拼写,environment,environment,环境,,0
错词,拼写,conclusion,conclusion,结论,,0
错词,拼写,essential,essential,本质的,,0
错词,拼写,implicit,implicit,隐含的,,0
错词,拼写,genuinely,genuinely,真正地,,1
错词,拼写,price,price,价格,,1
错词,拼写,vehicles,vehicles,车辆,,0
错词,拼写,mechanic,mechanic,机械的,注意：作为形容词“机械的”或名词“机械师”，这里应为“mechanical components”（机械零件）,0
错词,拼写,benefit,benefit,利益,,0
错词,拼写,hinders,hinders,阻碍,,0
错词,拼写,establish,establish,建立,,1
错词,拼写,synchronize,synchronize,同步,,1
错词,拼写,trajectory,trajectory,轨迹,,0
错词,拼写,intelligent,intelligent,智能的,应为形容词“intelligent”,0
错词,拼写,infrastructure,infrastructure,基础设施,,0
错词,拼写,technology,technology,技术,,0
错词,拼写,sustainable,sustainable,可持续的,注意拼写,1
错词,拼写,promoting,promoting,推广,,0
错词,拼写,establishment,establishment,建立物/体系,,0
错词,拼写,synchronously,synchronously,同步地,,1
错词,拼写,associate,associate,关联,,0
错词,拼写,conclusion,conclusion,结论,,1
错词,可数/不可数,limitation,limitation,限制,抽象概念“局限性”常用复数,0
错词,可数/不可数,audience,audience,观众,指多个观众群体时用复数,1
错词,搭配/介词错误,barrier,barrier,创造的障碍,“障碍”后接“to doing”,0
错词,搭配/介词错误,research,research,做研究,固定搭配,1
错词,不精准,transcend,transcend,超越,,0
错词,不精准,request,request,请求,,1
错词,不精准,interpretation,interpretation,诠释,“illustration”意为插图,0
错词,不精准,everyday,everyday,日常的,注意与“every day”（每天）区分,0
错词,不精准,lyrics,lyrics,歌词,,0
错词,不精准,usher,usher,引领,,0
错词,不精准,touching,touching,动人的,“touchy”意为易怒的,0
错词,不精准,dialogue,dialogue,对话,,0
错词,不精准,simplistically,simplistically,过分简单地,,1
错词,词性混淆,response,response,反应,,1
错词,词性混淆,creation,creation,创作工具,,0
错词,词性混淆,tend,tend,倾向于,,0
错词,词性混淆,base,base,基础,“basement”是地下室,0
错词,词性混淆,tend,tend,倾向于,“tent”是帐篷,0
错词,词性混淆,economic,economic,经济的,“economical”意为“节俭的”,0
错词,词性混淆,abundant,abundant,丰富的,,0
错词,型近错用,effective,effective,有效的,“efficiency”是名词“效率”,1
错词,型近错用,exert,exert,施加,“extract”意为提取,0
错词,型近错用,affected,affected,受到影响,“effect”作动词意为“实现”,0
错词,同义替换,listener,listener,听众,,0
错词,同义替换,song,song,音乐；歌曲,,0
错词,同义替换,fusion,fusion,场景；融合,,0
错词,同义替换,generation,generation,年轻人；年轻一代,,1
错词,同义替换,moving,moving,动人的；感人的,,0
错词,同义替换,pique,pique,刺激；激起（兴趣）,,0
