root,serial,level,part_of_speech,addition,explaination_e,explaination_c
007929,19-007929-00-1,9,n.,,-,（思想、观点等）偏狭，性僵化；岛国性质（或状态）；岛屿生活状况，与外界隔绝的生活状况
003090,19-003090-00-1,9,adj.,-,-,非常有趣的，引人入胜的
003090,19-003090-00-2,9,v.,-,-,引起……的兴趣；策划阴谋；私通（intrigue 的现在分词）
002272,19-002272-00-1,9,n.,fleets,-,船队，舰队；（某家公司控制的）车队；小湾，水道
002272,19-002272-00-2,9,adj.,fleeter-fleetest,-,<文>快速的；快速的；（水）浅的
002272,19-002272-00-3,9,adv.,-,-,浅，不深地
002272,19-002272-00-4,9,v.,fleets-fleeting-fleeted-fleeted,-,<文>疾驰，飞逝
002272,19-002272-00-5,9,-,-,-,【名】 （Fleet）（美）弗利特（人名）
005458,19-005458-00-1,9,v.,splashes-splashing-splashed-splashed,-,（液体）稀里哗啦地溅落，飞溅；朝……泼洒，使……溅湿；泼溅着水行进，拍打着水游；以显著版面刊载，以大篇幅报道；使有色块，使有光斑；<英，非正式> 在（某物）上花很多钱
005458,19-005458-00-2,9,n.,splashes,-,落水声，溅泼声；溅上的液体，溅洒后留下的污渍；掺入饮料的少量液体；色块，光斑；（报章等旨在招徕读者的）重点文章；拍水，戏水；引人注目的效果
007031,19-007031-00-1,9,v.,epitomizes-epitomizing-epitomized-epitomized,-,成为……的典范，作为……的缩影；<古>概括，总结（一篇作品）
004672,19-004672-00-1,9,adj.,-,-,娱乐的，消遣的
002765,19-002765-00-1,9,n.,hostels,-,（免费或廉价的）旅社，招待所；青年旅舍；无家可归者收容所，临时收容所；<古>（提供食宿的）客栈
002765,19-002765-00-2,9,v.,hostels-hostelling或hosteling-hostelled或hosteled-hostelled或hosteled,-,留宿于招待所，旅行时住在招待所
007378,19-007378-00-1,9,adj.,-,-,明智的，可取的
001520,19-001520-00-1,9,n.,deputies,-,代理人，副手，副职；代表，议员；（美国协助地方治安官办案的）警官
001520,19-001520-00-2,9,adj.,-,-,副的；代理的
007950,19-007950-00-1,9,v.,reiterates-reiterating-reiterated-reiterated,-,<正式>重申，反复说
007085,19-007085-00-1,9,v.,dubs-dubbing-dubbed-dubbed,-,把……称为，给……起绰号；配音；封……为爵士；<英>混合录音；拷贝（电影、音乐等）；装上（假蝇）作钓饵；在（皮革）上涂油，给（皮革）加脂
007085,19-007085-00-2,9,n.,dubs,-,强节拍诗歌；配音，配乐；新手，技术不熟练者
007085,19-007085-00-3,9,-,-,-,【名】 （Dub）（美、乌克兰）杜布（人名）
007774,19-007774-00-1,9,adj.,-,-,慈母般的；作为母亲的；母系的
008064,19-008064-00-1,9,v.,afflicts-afflicting-afflicted-afflicted,-,折磨，使痛苦；（天体）相对于（另一天体或黄道上某点）处于应力星位
004289,19-004289-00-1,9,adj.,more portable-most portable,-,便携式的，轻便的；可移植的，可在不同计算机上使用的；（变更工作或情景时）可转移的，可随带的
004289,19-004289-00-2,9,n.,portables,-,手提式电器；<美>活动教室
000412,19-000412-00-1,9,n.,attendances,-,出席人数；出席，出勤；考勤情况；提供帮助（in attendance）
000242,19-000242-00-1,9,adj.,-,-,模棱两可的，有歧义的；不明朗的，不确定的
007844,19-007844-00-1,9,n.,,-,燃烧；（化学）氧化，（化学）燃烧；骚动
008322,19-008322-00-1,9,vt.,-,-,使纠缠；卷入；使混乱
007560,19-007560-00-1,9,v.,impairs-impairing-impaired-impaired,-,损害，削弱
008248,19-008248-00-1,9,adj.,-,-,流行的；时髦的
001646,19-001646-00-1,9,n.,,-,自行决定权，判断力；谨慎，慎重
007167,19-007167-00-1,9,n.,,-,持久性，耐用性
007860,19-007860-00-1,9,v.,repatriates-repatriating-repatriated-repatriated,-,遣返
007860,19-007860-00-2,9,n.,repatriates,-,被遣返回国者
008111,19-008111-00-1,9,n.,captivities,-,囚禁；被关
007681,19-007681-00-1,9,n.,stacks,-,（整齐的）一堆；<英> 垛，堆；大量，许多；（尤指工厂的）大烟囱；（图书馆的）藏书架，双面书架（the stacks）；定高分层盘旋（等待降落）的机群；（计算机）（存储）栈；竖着置放的高保真音响（或吉他扩音）设备；（数支步枪支起的锥形）枪架；<英>（浪蚀）岩柱
007681,19-007681-00-2,9,v.,stacks-stacking-stacked-stacked,-,使成整齐的一堆；使成叠（或成摞、成堆）地放在…...；指令（待着陆飞机）作定高分层盘旋；洗牌时作弊；在（某组织机构中）安插（对自己有利的人员）；（滑雪板运动用语）跌倒，倒下
007681,19-007681-00-3,9,-,-,-,【名】 （Stack）（美）斯塔克（人名）
001242,19-001242-00-1,9,v.,cooperates-cooperating-cooperated-cooperated,-,合作，协作；配合，协助
008109,19-008109-00-1,9,adj.,-,-,不精确的；不严密的；不确切的
007393,19-007393-00-1,9,n.,,-,巩固；合并
005371,19-005371-00-1,9,adj.,-,-,唯一的，仅有的；专用的，独享的；<古>（尤指女性）未婚的；<古>单独的，没人陪伴的
005371,19-005371-00-2,9,n.,soles或sole,-,脚底；鞋底（不包括后跟）；脚趾和脚弓之间的部分；（刨子等工具的）底部，（高尔夫球棒头的）底端；（船舱或驾驶室的）地面，地板；鳎（鱼）； 脚底
005371,19-005371-00-3,9,v.,soles-soling-soled-soled,-,给（鞋）换底
005371,19-005371-00-4,9,-,-,-,【名】 （Sole）（西）索莱（人名）
007330,19-007330-00-1,9,n.,,-,适度，有节制；（尤指政治观点或行为的）温和，不偏激；缓和，减轻；<英>评分审核制；牛津大学文学士学位第一次考试（Moderations）；（中子）减速
008101,19-008101-00-1,9,v.,tempts-tempting-tempted-tempted,-,引诱，诱惑；怂恿，利诱；冒……的风险
007923,19-007923-00-1,9,adj.,-,-,渐变群的
001969,19-001969-00-1,9,n.,episodes,-,一段经历，一段时期；（电视剧或广播剧的）集，一集；疾病的发作，发病；插句，插段；（希腊悲剧中）两段合唱之间的部分
007462,19-007462-00-1,9,adj.,-,-,（法律上）无效的，作废的；（论据、理由等）站不住脚的，错误的；（计算机）不能识别的；残疾的
007462,19-007462-00-2,9,n.,invalids,-,病弱者，伤残者
007462,19-007462-00-3,9,vt.,-,-,使（因伤或病）退役；使伤残，使病弱
008170,19-008170-00-1,9,adj.,-,-,灾难性的；极糟的，失败的；大规模突变的；（与）地质灾变（有关）的
007053,19-007053-00-1,9,n.,,-,恶化
004154,19-004154-00-1,9,v.,persists-persisting-persisted-persisted,-,继续存在，持续；坚持，执意；坚持说，反复说
003283,19-003283-00-1,9,v.,leaps-leaping-leapt或leaped-leapt或leaped,-,猛冲，突然而迅速地移动；剧增，猛涨；赶紧抓住（机会）；（心）猛跳；跳，跳跃
003283,19-003283-00-2,9,n.,leaps,-,跳跃，跳高；骤变，激增；（对新事物的）认真尝试
003283,19-003283-00-3,9,-,-,-,【名】 （Leap）（美、法、英）莱亚（人名）
007948,19-007948-00-1,9,v.,jeopardizes-jeopardizing-jeopardized-jeopardized,-,危及，损害
001999,19-001999-00-1,9,v.,evaluates-evaluating-evaluated-evaluated,-,评价，评估，估值；求（方程式，公式，函数）的数值
007441,19-007441-00-1,9,n.,frocks,-,女装；连衣裙；僧袍；罩袍
007441,19-007441-00-2,9,n.,frocks,-,（Frock）人名；（英）弗罗克
007889,19-007889-00-1,9,vt.,-,-,对……授粉
008106,19-008106-00-1,9,n.,longitudes,-,经度，经线
003964,19-003964-00-1,9,n.,ornaments,-,装饰品，点缀品；<正式>装饰，摆设；<正式>首饰，饰物； 为……增添光彩的人（或事物）（ornament to sth.）；（乐）装饰音（ornaments） ；（基督教）（圣坛、圣餐杯和圣器等）礼拜用品，典礼用品
003964,19-003964-00-2,9,v.,ornaments-ornamenting-ornamented-ornamented,-,装饰，点缀
