Root,Serial,Level,part_of_speech,Addition,ExplainationE,ExplainationC
7929,19-007929-00-1,9,n.,,-,（思想、观点等）偏狭，性僵化；岛国性质（或状态）；岛屿生活状况，与外界隔绝的生活状况
3090,19-003090-00-1,9,adj.,-,-,非常有趣的，引人入胜的
3090,19-003090-00-2,9,v.,---,-,引起……的兴趣；策划阴谋；私通（intrigue 的现在分词）
2272,19-002272-00-1,9,n.,fleets,-,船队，舰队；（某家公司控制的）车队；小湾，水道
2272,19-002272-00-2,9,adj.,fleeter-fleetest,-,<文>快速的；快速的；（水）浅的
2272,19-002272-00-3,9,adv.,-,-,浅，不深地
2272,19-002272-00-4,9,v.,fleets-fleeting-fleeted-fleeted,-,<文>疾驰，飞逝
2272,19-002272-00-5,9,-,-,-,【名】 （Fleet）（美）弗利特（人名）
5458,19-005458-00-1,9,v.,splashes-splashing-splashed-splashed,-,（液体）稀里哗啦地溅落，飞溅；朝……泼洒，使……溅湿；泼溅着水行进，拍打着水游；以显著版面刊载，以大篇幅报道；使有色块，使有光斑；<英，非正式> 在（某物）上花很多钱
5458,19-005458-00-2,9,n.,splashes,-,落水声，溅泼声；溅上的液体，溅洒后留下的污渍；掺入饮料的少量液体；色块，光斑；（报章等旨在招徕读者的）重点文章；拍水，戏水；引人注目的效果
7031,19-007031-00-1,9,v.,epitomizes-epitomizing-epitomized-epitomized,-,成为……的典范，作为……的缩影；<古>概括，总结（一篇作品）
